字段1_文本,名称
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_01.html,- 1. 方脉总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_02.html,- 2. 方脉总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_03.html,- 3. 方脉总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_04.html,- 4. 方脉总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_05.html,- 5. 方脉药性总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_06.html,- 6. 五运六气图
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_07.html,- 7. 运气图
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_13.html,- 13 脏腑总论
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_14.html,- 14 肝脏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_16.html,- 16 心脏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_20.html,- 20 脾脏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_26.html,- 26 肺脏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_29.html,- 29 肾脏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_34.html,- 34 胆腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_35.html,- 35 胃腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_37.html,- 37 大肠腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_41.html,- 41 小肠腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_42.html,- 42 膀胱腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_43.html,- 43 三焦腑门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_44.html,- 44 头门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_51.html,- 51 面门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_53.html,- 53 耳门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_56.html,- 56 鼻门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_58.html,- 58 口门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_59.html,- 59 舌门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_60.html,- 60 咽喉门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_65.html,- 65 牙齿门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_71.html,- 71 咽喉门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_87.html,- 87 诸风门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_106.html,- 106 诸风门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_117.html,- 117 寒暑湿门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_119.html,- 119 积热痼冷门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_121.html,- 121 寒暑湿门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_132.html,- 132 伤寒门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_148.html,- 148 时气门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_152.html,- 152 热病门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_154.html,- 154 身体门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_157.html,- 157 咳嗽门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_164.html,- 164 痰饮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_168.html,- 168 积聚门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_176.html,- 176 消渴门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_181.html,- 181 诸气门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_185.html,- 185 诸痹门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_188.html,- 188 诸血门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_191.html,- 191 水病门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_195.html,- 195 黄疸门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_197.html,- 197 诸疟门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_201.html,- 201 霍乱门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_204.html,- 204 膈噎门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_206.html,- 206 呕吐门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_207.html,- 207 泄痢门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_214.html,- 214 小便淋秘门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_217.html,- 217 诸虚门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_227.html,- 227 虚劳门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_235.html,- 235 劳瘵门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_237.html,- 237 尸疰门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_239.html,- 239 诸虫门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_240.html,- 240 脚气门
